"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:13:08,FALSE,NA,"1598998765691891713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adinewgroho_",343,TRUE,FALSE,NA,NA
"RT @infomitigasi: Bukan hanya stasiun pengamatan seismik Wanagama Yogyakarta saja yang mengalami overscale, stasiun pengamatan Seismik Sema…",FALSE,0,NA,2022-12-03 11:12:54,FALSE,NA,"1598998709257523204",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bright_store",1,TRUE,FALSE,NA,NA
"Tadi jam 4 sore katanya ada #gempa di #garut ah... gak terasa ah... abi mah nikmati hidup main gim dan memang lgi d… https://t.co/Gb9KjoPber",FALSE,0,NA,2022-12-03 11:12:35,TRUE,NA,"1598998628353609729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","4Ocktora",0,FALSE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:12:22,FALSE,NA,"1598998575106887680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urangminang97",343,TRUE,FALSE,NA,NA
"RT @infomitigasi: Seismogram Wanagama #Yogyakarta mengalami overscale ketika gempa skala M6 terjadi di #Garut Sore ini 03-Desember-2022 htt…",FALSE,0,NA,2022-12-03 11:12:03,FALSE,NA,"1598998491791253505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zul_anto",14,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:12:02,FALSE,NA,"1598998489023000576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaeulsinn",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:11:57,FALSE,NA,"1598998467325886465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IrwanZhisef",343,TRUE,FALSE,NA,NA
"Inget, segera lari ya guys..
.
Semoga tidak menelan korban jiwa, doa terbaik untuk saudara/i yang tertimpa musibah… https://t.co/ztgb0lUcnd",FALSE,1,NA,2022-12-03 11:11:35,TRUE,NA,"1598998376514990080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qlead_id",0,FALSE,FALSE,NA,NA
"RT @infomitigasi: Seismogram Wanagama #Yogyakarta mengalami overscale ketika gempa skala M6 terjadi di #Garut Sore ini 03-Desember-2022 htt…",FALSE,0,NA,2022-12-03 11:11:09,FALSE,NA,"1598998268666839040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ar3z0",14,TRUE,FALSE,NA,NA
"RT @urgurljos: Rekomendasi tas putih lucu lucu 🙌🙌🤍

1. https://t.co/L0Vv2OISOw
2. https://t.co/rigY5K0i2d
3. https://t.co/AHLDN6rOVj
4. htt…",FALSE,0,NA,2022-12-03 11:10:32,FALSE,NA,"1598998113259487232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whisbper",5,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:10:31,FALSE,NA,"1598998108389580805",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Awanggnk",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:10:30,FALSE,NA,"1598998104727920641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","surefill",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:10:18,FALSE,NA,"1598998054308573186",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RakatFloress",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:10:03,FALSE,NA,"1598997989422338048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoursaturnous",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:09:48,FALSE,NA,"1598997927648989185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mbultaroune",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:09:30,FALSE,NA,"1598997850188574720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ekojhalu3",343,TRUE,FALSE,NA,NA
"barang Kali ada yang minat bole pc ya, 5k aja/ebbok 

note:bole req ya kak

#SpotifySupportsBullies #garut… https://t.co/kGDpABlf35",FALSE,0,NA,2022-12-03 11:09:25,TRUE,NA,"1598997830173356034",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnaAna22058505",0,FALSE,FALSE,NA,NA
"Karek hurungkuen computer Meja oyag #Garut",FALSE,0,NA,2022-12-03 11:09:24,FALSE,NA,"1598997828613070855",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlterLawOp015",0,FALSE,FALSE,NA,NA
"RT @itsripped: Stay safe semuanya #garut",FALSE,0,NA,2022-12-03 11:08:50,FALSE,NA,"1598997683632746496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BabangBachri",1,TRUE,FALSE,NA,NA
"RT @asal_sukses: Njir prediksi nya tepat

#Gempa 
#garut https://t.co/p9xrB0eznr",FALSE,0,NA,2022-12-03 11:08:29,FALSE,NA,"1598997596525449217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marieeei218",71,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:08:27,FALSE,NA,"1598997586970808321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","butterly__7",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:08:23,FALSE,NA,"1598997569384116225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nasiyuuu_",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:08:17,FALSE,NA,"1598997544813875201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","deniief",343,TRUE,FALSE,NA,NA
"Seharusnya tivi di indonesia harus kaya gini gak sih? Indonesia rawan gempa memang adanya lempeng/patahan, ayolah u… https://t.co/nxIJvnMKzd",FALSE,1,NA,2022-12-03 11:08:16,TRUE,NA,"1598997543513649152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pengg_twiter",1,FALSE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:08:06,FALSE,NA,"1598997498412298240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KangRoezland",343,TRUE,FALSE,NA,NA
"RT @infomitigasi: Seismogram Wanagama #Yogyakarta mengalami overscale ketika gempa skala M6 terjadi di #Garut Sore ini 03-Desember-2022 htt…",FALSE,0,NA,2022-12-03 11:07:55,FALSE,NA,"1598997452233003010",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PatpatPatrickSt",14,TRUE,FALSE,NA,NA
"RT @republikaonline: Gempa dengan magnitudo (M) 6,4 terjadi di Kabupaten Garut, Jawa Barat, Sabtu (3/12/2022) pukul 16.49.41 WIB. Gempa ter…",FALSE,0,NA,2022-12-03 11:07:54,FALSE,NA,"1598997449087283201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tumakninnah",2,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:07:00,FALSE,NA,"1598997223584718849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aldyno_RM",343,TRUE,FALSE,NA,NA
